,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
360,Woolworths,Heart Smart Extra Lean Pork Mince,8,8,500,500,Burwood,500,g,7,,,,,https://www.woolworths.com.au/shop/productdetails/666557/woolworths-heart-smart-extra-lean-pork-mince
362,Woolworths,Hi fibre bran,3.15,3.15,500,500,Burwood,500,g,2.8,,1,Woolworths,High Fibre Bran,https://www.woolworths.com.au/shop/productdetails/677961/woolworths-high-fibre-bran
364,Woolworths,Hotdogs,2.5,2.5,500,500,Burwood,500,g,2.9,,,,,https://www.woolworths.com.au/shop/productdetails/625348/woolworths-hotdogs
366,Woolworths,Iceberg Lettuce each,2.9,2.9,500,500,Burwood,500,g,3.9,,,,,https://www.woolworths.com.au/shop/productdetails/154340/iceberg-lettuce
368,Woolworths,Jelly Raspberry,0.9,0.9,85,85,Burwood,85,g,1.25,,1,Aeroplane,Original Raspberry Flavoured Jelly,https://www.woolworths.com.au/shop/productdetails/6094/aeroplane-original-raspberry-flavoured-jelly
370,Woolworths,Lamb Mince,8,8,500,500,Burwood,500,g,7.5,,,,,https://www.woolworths.com.au/shop/productdetails/582607/woolworths-lamb-mince
372,Woolworths,Lean Beef Mince,14.5,14.5,1000,1000,Burwood,1000,g,16,,,,,https://www.woolworths.com.au/shop/productdetails/577862/woolworths-lean-beef-mince
374,Woolworths,Lentils No Added Salt,0.8,0.8,420,420,Burwood,420,g,1,,,,,https://www.woolworths.com.au/shop/productdetails/259400/woolworths-lentils-no-added-salt
376,Woolworths,Lite thickened Cream,3,3,600,600,Burwood,600,ml,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/838738/woolworths-light-thickened-cream
378,Woolworths,Loin Steaks Pork,10,10,500,500,Burwood,500,g,10,,,,,https://www.woolworths.com.au/shop/productdetails/829116/woolworths-loin-steaks-pork
380,Woolworths,Lychees In Syrup,2.75,2.75,560,560,Burwood,NA,NA,NA,,,,,NA
382,Woolworths,Mandarin Canned,1.75,1.75,310,310,Burwood,310,g,1.3,,,,,https://www.woolworths.com.au/shop/productdetails/756336/woolworths-mandarin-canned
384,Woolworths,Mango Slices In Syrup,1.55,1.55,425,425,Burwood,NA,NA,NA,,,,,NA
386,Woolworths,Max Charge Cereal,3.5,3.5,560,560,Burwood,560,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/732510/woolworths-max-charge-cereal
388,Woolworths,Mini Banana Muffin,3.5,3.5,320,320,Burwood,320,g,4.7,,,,,https://www.woolworths.com.au/shop/productdetails/607875/woolworths-mini-banana-muffin
390,Woolworths,Moisture Infused Pork Chops,18,18,1200,1200,Burwood,1200,g,21,,,,,https://www.woolworths.com.au/shop/productdetails/710886/woolworths-moisture-infused-pork-chops
392,Woolworths,Muesli Bar Choc Chip,1.9,1.9,248,248,Burwood,248,g,2.5,,,,,https://www.woolworths.com.au/shop/productdetails/634100/woolworths-muesli-bar-choc-chip
394,Woolworths,Orange juice,2,2,2000,2000,Burwood,2000,ml,2.8,,,,,https://www.woolworths.com.au/shop/productdetails/825528/woolworths-orange-juice
396,Woolworths,Pasta Spaghetti,0.8,0.8,500,500,Burwood,500,g,1,,,,,https://www.woolworths.com.au/shop/productdetails/346830/woolworths-pasta-spaghetti
398,Woolworths,Peach Slices in Juice,2,2,410,410,Burwood,410,g,2,,,,,https://www.woolworths.com.au/shop/productdetails/753150/woolworths-peach-slices-in-juice
400,Woolworths,Pikelets,2,2,200,200,Burwood,200,g,2.8,,,,,https://www.woolworths.com.au/shop/productdetails/365378/woolworths-pikelets
402,Woolworths,Pineapple In Juice,2.2,2.2,500,500,Burwood,425,g,1.65,,1,Woolworths,Pineapple Slices in Juice,https://www.woolworths.com.au/shop/productdetails/563001/woolworths-pineapple-slices-in-juice
404,Woolworths,Pineapple Slices In Juice,1.1,1.1,425,425,Burwood,425,g,1.65,,,,,https://www.woolworths.com.au/shop/productdetails/563001/woolworths-pineapple-slices-in-juice
406,Woolworths,Pitted Dates,1.75,1.75,500,500,Burwood,500,g,1.85,,,,,https://www.woolworths.com.au/shop/productdetails/18160/woolworths-pitted-dates
408,Woolworths,Pumpkin Kent,3.5,4,1000,1000,Burwood,1000,g,5.6,,,,,https://www.woolworths.com.au/shop/productdetails/120037/pumpkin-kent
410,Woolworths,Red Washed baby Potato,3.5,3.5,1000,1000,Burwood,1000,g,3.8,,,,,https://www.woolworths.com.au/shop/productdetails/385086/woolworths-baby-red-washed-potato
412,Woolworths,Red Washed Potato,7,7,2000,2000,Burwood,2000,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/101638/woolworths-red-washed-potatoes-bag
414,Woolworths,Rolled Traditional Oats,1.4,1.4,750,750,Burwood,750,g,1.4,,,,,https://www.woolworths.com.au/shop/productdetails/321220/woolworths-rolled-traditional-oats
416,Woolworths,Salmon Lemon and Thyme,1.3,1.3,95,95,Burwood,NA,NA,NA,,,,,NA
418,Woolworths,Salted Peanuts,2.3,2.3,375,375,Burwood,375,g,2.3,,,,,https://www.woolworths.com.au/shop/productdetails/509458/woolworths-salted-peanuts
420,Woolworths,Sandwich Cheese Slices,10,10,1000,1000,Burwood,1000,g,12.5,,,,,https://www.woolworths.com.au/shop/productdetails/453306/woolworths-sandwich-cheese-slices
422,Woolworths,Skim Milk Powder,5.7,5.7,1000,1000,Burwood,1000,g,10,,,,,https://www.woolworths.com.au/shop/productdetails/789358/woolworths-skim-milk-powder
424,Woolworths,Smooth Peanut Butter,2.4,2.4,500,500,Burwood,500,g,2.9,,,,,https://www.woolworths.com.au/shop/productdetails/233922/woolworths-smooth-peanut-butter
426,Woolworths,Snapz Original,1.5,1.5,250,250,Burwood,250,g,1.5,,,,,https://www.woolworths.com.au/shop/productdetails/501408/woolworths-snapz-original
428,Woolworths,Sour Cream,2.1,2.1,300,300,Burwood,300,ml,3.25,,,,,https://www.woolworths.com.au/shop/productdetails/105609/woolworths-sour-cream
430,Woolworths,Soy Milk,1.15,1.15,1000,1000,Burwood,1000,ml,1.15,,,,,https://www.woolworths.com.au/shop/productdetails/779130/woolworths-soy-milk
432,Woolworths,Strawberry flavoured milk,3.85,3.85,2000,2000,Burwood,2000,ml,6.5,,1,Oak,Strawberry Flavoured Milk,https://www.woolworths.com.au/shop/productdetails/484385/oak-strawberry-flavoured-milk
434,Woolworths,Sultanas,5,5,1000,1000,Burwood,1000,g,5,,,,,https://www.woolworths.com.au/shop/productdetails/95055/woolworths-sultanas
436,Woolworths,Sunflower Oil,2.5,2.5,750,750,Burwood,750,ml,3.95,,,,,https://www.woolworths.com.au/shop/productdetails/62000/woolworths-sunflower-oil
438,Woolworths,Sweet potato and potato salad,5,5,400,400,Burwood,NA,NA,NA,,,,,NA
440,Woolworths,Tasty Cheese Block,8.8,8.8,1000,1000,Burwood,1000,g,14,,,,,https://www.woolworths.com.au/shop/productdetails/891325/woolworths-tasty-cheese-block
442,Woolworths,Thickened Cream,3,3,600,600,Burwood,600,ml,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/48720/woolworths-thickened-cream
444,Woolworths,Traditional Cracker,0.97,0.97,250,250,Burwood,250,g,0.95,,,,,https://www.woolworths.com.au/shop/productdetails/70772/woolworths-traditional-cracker
446,Woolworths,Vanilla Yoghurt 98% Fat Free,3.45,3.45,1000,1000,Burwood,1000,g,4,,,,,https://www.woolworths.com.au/shop/productdetails/571483/woolworths-vanilla-yoghurt-98-fat-free
448,Woolworths,Vegetable Oil,2.5,2.5,750,750,Burwood,750,ml,3.95,,,,,https://www.woolworths.com.au/shop/productdetails/750738/woolworths-vegetable-oil
450,Woolworths,White hi-fibre low GI loaf,3,3,680,680,Burwood,NA,NA,NA,,,,,NA
452,Woolworths,White Rice Long Grain,1.4,1.4,1000,1000,Burwood,1000,g,1.4,,,,,https://www.woolworths.com.au/shop/productdetails/35007/woolworths-white-rice-long-grain
454,Woolworths,White Soft Hi-fibre bread,2.3,2.3,700,700,Burwood,700,g,3.5,,,,,https://www.woolworths.com.au/shop/productdetails/581280/woolworths-white-soft-hi-fibre-bread
456,Woolworths,White Soft Sandwich Bread,1.6,1.6,650,650,Burwood,650,g,2.7,,,,,https://www.woolworths.com.au/shop/productdetails/581172/woolworths-white-soft-sandwich-bread
458,Woolworths,White washed potatoes,7,7,2000,2000,Burwood,1000,g,3.8,,1,Woolworths,White Washed Baby Potatoes,https://www.woolworths.com.au/shop/productdetails/385085/woolworths-white-washed-baby-potatoes-bag
460,Woolworths,Wholemeal sandwich high fibre bread,2.3,2.3,700,700,Burwood,700,g,3.5,,,,,https://www.woolworths.com.au/shop/productdetails/581281/woolworths-wholemeal-sandwich-hi-fibre-bread
462,Woolworths,Wholemeal soft sandwich bread,1.6,1.6,650,650,Burwood,650,g,2.7,,,,,https://www.woolworths.com.au/shop/productdetails/581176/woolworths-wholemeal-soft-sandwich-bread
464,Woolworths,Woolworths Rocket,2.5,2.5,120,120,Burwood,120,g,3.3,,,,,https://www.woolworths.com.au/shop/productdetails/54900/woolworths-baby-leaf-rocket
466,Woolworths,Woolworths Spread Olive Oil,2,2,500,500,Burwood,500,g,3.8,,,,,https://www.woolworths.com.au/shop/productdetails/492690/woolworths-spread-olive-oil
468,Yoplait,Forme Zero French Vanilla Yoghurt,4,4,1000,1000,Burwood,1000,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/297764/yoplait-forme-zero-french-vanilla-yoghurt
470,Yoplait,Mango yoghurt,4,4,1000,1000,Burwood,1000,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/253784/yoplait-mango-yoghurt
472,Yoplait,Mango Yoghurt,4,4,1000,1000,Burwood,1000,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/253784/yoplait-mango-yoghurt
474,Yumi's,Traditional Garlic Dip,7,7,1000,1000,Burwood,200,g,4.5,4,,,,https://www.woolworths.com.au/shop/productdetails/85313/yumi-s-traditional-garlic-dip
