,category,desc,brand,item_name,product_size,product_cost,unit_price_100
30,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,UP&GO Liquid Breakfast Choc Ice,1500,9.7,0.646666667
31,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,Up&go Liquid Breakfast Choc Ice 6 pack,1500,9.7,0.646666667
32,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Nestle,Milo  Ready To Drink,600,4,0.666666667
33,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Nestle,Sustagen Vanilla Ready To Drink,750,5.9,0.786666667
34,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,UP&GO Liquid Breakfast Strawberry,1500,9.7,0.646666667
35,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Nestle,Milo Ready To Drink 3 pack,600,4,0.666666667
36,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,UP&GO Liquid Breakfast Choc Ice,1000,4.8,0.48
37,"Rice, grains and flours","rice, quinoa and couscous without additions",Woolworths,White Rice Long Grain,1000,1.4,0.14
38,"Rice, grains and flours","rice, quinoa and couscous without additions",Woolworths,Essentials Plain Flour,1000,1,0.1
39,"Rice, grains and flours","rice, quinoa and couscous without additions",Sunrice,White Rice Premium Long Grain,1000,2,0.2
40,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,Long Grain Rice,1000,1.4,0.14
41,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,Brown Rice,1000,2.5,0.25
42,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,White Plain Flour,2000,1.8,0.09
43,"Rice, grains and flours","rice, quinoa and couscous without additions",Woolworths,White Rice Long Grain,1000,1.4,0.14
44,"Rice, grains and flours","rice, quinoa and couscous without additions",Woolworths,Essentials Plain Flour,1000,1,0.1
45,"Rice, grains and flours","rice, quinoa and couscous without additions",Sunrice,White Rice Premium Long Grain,1000,2,0.2
46,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,Long Grain Rice,1000,1.4,0.14
47,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,Brown Rice,1000,2.5,0.25
48,"Rice, grains and flours","rice, quinoa and couscous without additions",Coles,White Plain Flour,2000,1.8,0.09
49,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Country Loaf Wholemeal,750,2.7,0.36
50,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Wholemeal soft sandwich bread,650,1.6,0.246153846
51,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Wholemeal sandwich high fibre bread,700,2.3,0.328571429
52,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Soft Multigrain Sandwich Bread,650,1.6,0.246153846
53,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Soft Wholemeal Sandwich Bread Loaf,650,1.6,0.246153846
54,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Bakery Wholemeal Block Loaf,680,2,0.294117647
55,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Country Loaf Wholemeal,750,2.7,0.36
56,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Wholemeal soft sandwich bread,650,1.6,0.246153846
57,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Woolworths,Wholemeal sandwich high fibre bread,700,2.3,0.328571429
58,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Soft Multigrain Sandwich Bread,650,1.6,0.246153846
59,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Soft Wholemeal Sandwich Bread Loaf,650,1.6,0.246153846
60,"Breads and rolls, wholegrain, fortified","Bagels, bread, English muffins, and flat breads with mandatory or additional fortification, all grains including gluten-free varieties",Coles,Bakery Wholemeal Block Loaf,680,2,0.294117647
61,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Woolworths,White Soft Sandwich Bread,650,1.6,0.246153846
62,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Essentials,White Sandwich Bread,650,1.3,0.2
63,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Woolworths,White Soft Hi-fibre bread,700,2.3,0.328571429
64,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,White Sandwich Bread,650,1.3,0.2
65,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,Soft White Sandwich,650,1.6,0.246153846
66,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,Bakery White Toast Bread Loaf,680,2,0.294117647
67,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Woolworths,White Soft Sandwich Bread,650,1.6,0.246153846
68,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Essentials,White Sandwich Bread,650,1.3,0.2
69,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Woolworths,White Soft Hi-fibre bread,700,2.3,0.328571429
70,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,White Sandwich Bread,650,1.3,0.2
71,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,Soft White Sandwich,650,1.6,0.246153846
72,"Breads and rolls, refined grain, fortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with mandatory or additional fortification",Coles,Bakery White Toast Bread Loaf,680,2,0.294117647
73,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Wholemeal Loaf,680,2,0.294117647
74,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Rolls Soft Wholegrain Lunch 6pk,420,2,0.476190476
75,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Grain Loaf,800,3,0.375
76,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Coles,Gluten Free Soy & Linseed Bread,500,4.5,0.9
77,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Coles,Gluten Free Five Seed Bread,500,4.5,0.9
78,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Helgas,Gluten Free Traditional Wholemeal Bread,500,7,1.4
79,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Wholemeal Loaf,680,2,0.294117647
80,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Rolls Soft Wholegrain Lunch 6pk,420,2,0.476190476
81,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Woolworths,Bread Grain Loaf,800,3,0.375
82,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Coles,Gluten Free Soy & Linseed Bread,500,4.5,0.9
83,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Coles,Gluten Free Five Seed Bread,500,4.5,0.9
84,"Breads and rolls, wholegrain (all grains), unfortified","Bagels, bread, English muffins, and flat breads with no fortification, all grains including gluten-free varieties",Helgas,Gluten Free Traditional Wholemeal Bread,500,7,1.4
85,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Woolworths,White hi-fibre low GI loaf,680,3,0.441176471
86,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Woolworths,Free From Gluten White bread,550,4.5,0.818181818
87,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Jase's Kitchen,Frozen Pizza Base Gluten Free 2 pack,380,8,2.105263158
88,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Coles,Gluten Free White Bread,500,4.5,0.9
89,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Coles,Gluten Free White Wraps,200,5,2.5
90,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Helgas,Gluten Free Traditional White Rolls,320,7,2.1875
91,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Woolworths,White hi-fibre low GI loaf,680,3,0.441176471
92,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Woolworths,Free From Gluten White bread,550,4.5,0.818181818
93,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Julian's,Pizza base 11 inch gluten free,260,4.99,1.919230769
94,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Coles,Gluten Free White Bread,500,4.5,0.9
95,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Coles,Gluten Free White Wraps,200,5,2.5
96,"Breads and rolls,  refined grain (white), unfortified","White (including gluten-free) bagels, bread, English muffins, and flat breads with no fortification",Helgas,Gluten Free Traditional White Rolls,320,7,2.1875
97,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Jelly Raspberry,85,0.9,1.058823529
98,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Essentials Vanilla Ice Cream,2000,2.75,0.1375
99,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Apple Pie Family,600,3.2,0.533333333
100,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Lightly Fruited Sultana Cake,800,4.3,0.5375
101,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Neapolitan Ice Cream Tub,4000,4.9,0.1225
102,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Frozen Family Apple Pie,600,3.2,0.533333333
103,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Jelly Raspberry,85,0.9,1.058823529
104,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Essentials Vanilla Ice Cream,2000,2.75,0.1375
105,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Woolworths,Apple Pie Family,600,3.2,0.533333333
106,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Lightly Fruited Sultana Cake,800,4.3,0.5375
107,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Neapolitan Ice Cream Tub,4000,4.9,0.1225
108,Desserts,"Sweet buns, sweet biscuits, cakes, cupcakes, banana breads, cake‐style muffins with chocolate, pudding, pie, danishes, éclairs, doughnuts, ice cream, toppings, pavlova, and ice confections",Coles,Frozen Family Apple Pie,600,3.2,0.533333333
109,"Pasta and noodles, plain",Pasta and noodles without additions.,Woolworths,Pasta Spaghetti,500,0.8,0.16
110,"Pasta and noodles, plain",Pasta and noodles without additions.,Woolworths,Essentials Pasta Spirals,500,0.8,0.16
111,"Pasta and noodles, plain",Pasta and noodles without additions.,Macro,Organic Wholemeal Spaghetti,500,1.65,0.33
112,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Spirals Pasta,500,0.8,0.16
113,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Organic Wholemeal Spaghetti,500,1.65,0.33
114,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Durum Wheat Rigatoni Pasta,500,1.2,0.24
115,"Pasta and noodles, plain",Pasta and noodles without additions.,Woolworths,Pasta Spaghetti,500,0.8,0.16
116,"Pasta and noodles, plain",Pasta and noodles without additions.,Woolworths,Essentials Pasta Spirals,500,0.8,0.16
117,"Pasta and noodles, plain",Pasta and noodles without additions.,Macro,Organic Wholemeal Spaghetti,500,1.75,0.35
118,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Spirals Pasta,500,0.8,0.16
119,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Organic Wholemeal Spaghetti,500,1.65,0.33
120,"Pasta and noodles, plain",Pasta and noodles without additions.,Coles,Durum Wheat Rigatoni Pasta,500,1.2,0.24
121,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Latina,Fresh Ham cheese tortellini,625,8,1.28
122,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Leggos,Tortellini ricotta and roast vege,630,8,1.26984127
123,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",La Tosca,Spinach Ricotta Tortellini,750,6,0.8
124,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Latina,Fresh Ricotta and Spinach Agnolotti,625,8,1.28
125,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Coles,Pasta Tortellini Veal,600,4,0.666666667
126,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Coles,Finest Filled pasta pork fennel,375,5,1.333333333
127,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Latina,Fresh Ham cheese tortellini,625,8,1.28
128,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Leggos,Tortellini ricotta and roast vege,630,8,1.26984127
129,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",La Tosca,Spinach Ricotta Tortellini,750,6,0.8
130,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Latina,Fresh Ricotta and Spinach Agnolotti,375,6.5,1.733333333
131,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Coles,Pasta Tortellini Veal,600,4,0.666666667
132,"Pasta and noodles, with additions","Filled pasta (meat, spinach, cheese, vegetables)",Coles,Finest Filled pasta pork fennel,375,5,1.333333333
133,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Crispy rice pops,350,1.8,0.514285714
134,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Hi fibre bran,500,3.15,0.63
135,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Crunchy Corn flakes,700,2.5,0.357142857
136,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Wheat Biscuits,1120,3.2,0.285714286
137,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Corn Flakes,475,1.7,0.357894737
138,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Rice Puffs,360,1.85,0.513888889
139,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Crispy rice pops,350,1.8,0.514285714
140,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Hi fibre bran,500,3.15,0.63
141,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Woolworths,Crunchy Corn flakes,700,2.5,0.357142857
142,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Wheat Biscuits,1120,3.2,0.285714286
143,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Corn Flakes,475,1.7,0.357894737
144,"Breakfast cereal, RTE, fortified, sugars ≤20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli varieties, with or without fruit and nuts, and lower in sugar. Eg, weetbix, Just Right",Coles,Rice Puffs,360,1.85,0.513888889
145,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Crunchy Honey Poppas,650,4.3,0.661538462
146,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Cocoa Puffs,500,3.15,0.63
147,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Max Charge Cereal,560,3.5,0.625
148,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Mighty Grain Cereal,560,3.5,0.625
149,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Cocoa Puffs,300,1.9,0.633333333
150,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Bran Flakes With Sultanas,500,3.3,0.66
151,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Crunchy Honey Poppas,650,4.3,0.661538462
152,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Cocoa Puffs,500,3.15,0.63
153,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Woolworths,Max Charge Cereal,560,3.5,0.625
154,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Mighty Grain Cereal,560,3.5,0.625
155,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Cocoa Puffs,300,1.9,0.633333333
156,"Breakfast cereal, RTE, fortified, sugars >20g/100g","Fortified ready‐to‐eat breakfast cereals and muesli, with or without fruit and nuts high in sugar. Eg, cocoa puffs, Sultana Bran",Coles,Bran Flakes With Sultanas,500,3.3,0.66
157,"Breakfast cereal, RTE, unfortified, sugars ≤20g/100g","Unfortified ready‐to‐eat breakfast cereals and muesli varieties, lower in sugar. Eg, Puffed wheat, natural muesli",Woolworths,Free From Gluten Cereal Cornflakes,375,3,0.8
